User_ID,Gender,Device,Country,Family_Member,Age,Time_Consuming_Per_Week,Genre,Satisfaction,Monthly_Income,Join_Date,Last_Payment_Date,Subscription_ID,Monthly_Revenue,Subscription_Method,Monthly_Fee,No_Device,Plan_Duration_Month,Initial_Plan_End_Date,Renewed,Days_Since_Join,Retention_Period,Join_Month,Join_Year,Renewal_Month,Renewal_Year
1,Male,Smartphone,United States,5,21,9,Horror,Satisfied,900,2022-01-15,2023-06-10,1,10,Basic,10,1,1,2022-02-14,True,511,>365 days,1,2022,6,2023
5,Male,Smartphone,Germany,2,23,9,Action & Adventure,Extremely satisfied,1000,2023-05-01,2023-06-28,1,10,Basic,10,1,1,2023-05-31,True,58,31-60 days,5,2023,6,2023
8,Female,Laptop,Mexico,1,21,9,Horror,Satisfied,700,2023-04-02,2023-06-24,1,10,Basic,10,1,1,2023-05-02,True,83,61-90 days,4,2023,6,2023
11,Female,Smartphone,United States,3,19,10,Comedy,Satisfied,1000,2022-05-16,2023-06-22,1,10,Basic,10,1,1,2022-06-15,True,402,>365 days,5,2022,6,2023
14,Male,Smartphone,Australia,1,20,10,Horror,Extremely satisfied,1000,2022-08-01,2023-06-26,1,10,Basic,10,1,1,2022-08-31,True,329,181-365 days,8,2022,6,2023
17,Female,Laptop,Brazil,5,25,8,Horror,Extremely satisfied,500,2022-01-24,2023-06-25,1,10,Basic,10,1,1,2022-02-23,True,517,>365 days,1,2022,6,2023
20,Male,Tablet,Italy,3,17,6,Action & Adventure,Neutral,900,2023-05-27,2023-06-22,1,10,Basic,10,1,1,2023-06-26,False,26,0-30 days,5,2023,6,2023
22,Male,Smartphone,Canada,3,23,8,Action & Adventure,Extremely satisfied,1000,2022-07-22,2023-06-28,1,10,Basic,10,1,1,2022-08-21,True,341,181-365 days,7,2022,6,2023
25,Female,Laptop,Germany,5,18,9,Dramma,Extremely satisfied,600,2023-03-14,2023-06-28,1,10,Basic,10,1,1,2023-04-13,True,106,91-180 days,3,2023,6,2023
27,Female,Smart TV,Brazil,1,18,8,Comedy,Extremely satisfied,600,2022-08-29,2023-06-25,1,10,Basic,10,1,1,2022-09-28,True,300,181-365 days,8,2022,6,2023
30,Male,Smartphone,Italy,2,17,10,Action & Adventure,Satisfied,1000,2023-05-17,2023-06-22,1,10,Basic,10,1,1,2023-06-16,True,36,31-60 days,5,2023,6,2023
32,Male,Tablet,Canada,5,25,10,Horror,Extremely satisfied,1000,2022-07-07,2023-06-28,1,10,Basic,10,1,1,2022-08-06,True,356,181-365 days,7,2022,6,2023
35,Female,Smart TV,Germany,5,20,8,Horror,Extremely satisfied,700,2023-04-11,2023-06-28,1,10,Basic,10,1,1,2023-05-11,True,78,61-90 days,4,2023,6,2023
37,Female,Laptop,Brazil,1,21,9,Comedy,Extremely satisfied,600,2022-09-14,2023-06-25,1,10,Basic,10,1,1,2022-10-14,True,284,181-365 days,9,2022,6,2023
40,Male,Tablet,Italy,5,22,6,Horror,Extremely satisfied,800,2023-03-07,2023-06-22,1,10,Basic,10,1,1,2023-04-06,True,107,91-180 days,3,2023,6,2023
42,Male,Smartphone,Canada,5,18,8,Horror,Satisfied,600,2022-06-15,2023-06-28,1,10,Basic,10,1,1,2022-07-15,True,378,>365 days,6,2022,6,2023
45,Female,Laptop,Germany,4,21,9,Comedy,Neutral,600,2023-01-28,2023-06-28,1,10,Basic,10,1,1,2023-02-27,True,151,91-180 days,1,2023,6,2023
47,Female,Smart TV,Brazil,2,17,6,Comedy,Satisfied,700,2022-10-05,2023-06-25,1,10,Basic,10,1,1,2022-11-04,True,263,181-365 days,10,2022,6,2023
50,Male,Smartphone,Italy,4,25,8,Horror,Neutral,700,2023-06-02,2023-06-22,1,10,Basic,10,1,1,2023-07-02,False,20,0-30 days,6,2023,6,2023
